漢字,読み仮名,答え,レベル,部首,タグ
把握,,はあく,Level2,Unset,Unset
依存症,,いぞんしょう、いそんしょう,Level2,Unset,Unset
帰依,,きい,Level2,Unset,Unset
威圧,,いあつ,Level2,Unset,Unset
行為,,こうい,Level2,Unset,Unset
為替,,かわせ,Level2,Unset,Unset
偉人,,いじん,Level2,Unset,Unset
偉い,,えらい,Level2,Unset,Unset
相違,,そうい,Level2,Unset,Unset
見違える,,みちがえる,Level2,Unset,Unset
維新,,いしん,Level2,Unset,Unset
経緯,,けいい,Level2,Unset,Unset
壱万円,,いちまんえん,Level2,Unset,Unset
陰鬱,,いんうつ,Level2,Unset,Unset
陰り,,かげり,Level2,Unset,Unset
隠蔽,,いんぺい,Level2,Unset,Unset
隠れる,,かくれる,Level2,Unset,Unset
芋煮,,いもに,Level2,Unset,Unset
影響,,えいきょう,Level2,Unset,Unset
物陰,,ものかげ,Level2,Unset,Unset
鋭利,,えいり,Level2,Unset,Unset
越冬,,えっとう,Level2,Unset,Unset
越す,,こす,Level2,Unset,Unset
応援,,おうえん,Level2,Unset,Unset
煙突,,えんとつ,Level2,Unset,Unset
煙,,けむり,Level2,Unset,Unset
狼煙,,のろし,Level2,Unset,Unset
鉛筆,,えんぴつ,Level2,Unset,Unset
額縁,,がくぶち,Level2,Unset,Unset
汚点,,おてん,Level2,Unset,Unset
汚い,,きたない,Level2,Unset,Unset
押収,,おうしゅう,Level2,Unset,Unset
奥義,,おうぎ,Level2,Unset,Unset
憶測,,おくそく,Level2,Unset,Unset
菓子,,かし,Level2,Unset,Unset
余暇,,よか,Level2,Unset,Unset
箇条書き,,かじょうがき,Level2,Unset,Unset
雅,,みやび、つね,Level2,Unset,Unset
厄介,,やっかい,Level2,Unset,Unset
警戒,,けいかい,Level2,Unset,Unset
皆既日食,,かいきにっしょく,Level2,Unset,Unset
崩壊,,ほうかい,Level2,Unset,Unset
稲刈り,,いねかり,Level2,Unset,Unset
比較,,ひかく,Level2,Unset,Unset
獲得,,かくとく,Level2,Unset,Unset
甘美,,かんび,Level2,Unset,Unset
甘える,,あまえる,Level2,Unset,Unset
発汗,,はっかん,Level2,Unset,Unset
乾く,,かわく,Level2,Unset,Unset
勧誘,,かんゆう,Level2,Unset,Unset
勧める,,すすめる,Level2,Unset,Unset
歓迎,,かんげい,Level2,Unset,Unset
監督,,かんとく,Level2,Unset,Unset
環境,,かんきょう,Level2,Unset,Unset
鑑賞,,かんしょう,Level2,Unset,Unset
鑑みる,,かんがみる,Level2,Unset,Unset
含む,,ふくむ,Level2,Unset,Unset
軌跡,,きせき,Level2,Unset,Unset
合格祈願,,ごうかくきがん,Level2,Unset,Unset
餓鬼,,がき,Level2,Unset,Unset
幾つ,,いくつ,Level2,Unset,Unset
輝く,,かがやく,Level2,Unset,Unset
律儀,,りちぎ,Level2,Unset,Unset
遊戯,,ゆうぎ,Level2,Unset,Unset
戯れる,,たわむれる,Level2,Unset,Unset
詰問,,きつもん,Level2,Unset,Unset
詰む,,つむ,Level2,Unset,Unset
却下,,きゃっか,Level2,Unset,Unset
行脚,,あんぎゃ,Level2,Unset,Unset
及び,,および,Level2,Unset,Unset
砂丘,,さきゅう,Level2,Unset,Unset
丘,,おか,Level2,Unset,Unset
老朽,,ろうきゅう,Level2,Unset,Unset
朽ちる,,くちる,Level2,Unset,Unset
扱う,,あつかう,Level2,Unset,Unset
巨匠,,きょしょう,Level2,Unset,Unset
占拠,,せんきょ,Level2,Unset,Unset
距離,,きょり,Level2,Unset,Unset
御恩,,ごおん,Level2,Unset,Unset
元凶,,げんきょう,Level2,Unset,Unset
絶叫,,ぜっきょう,Level2,Unset,Unset
叫ぶ,,さけぶ,Level2,Unset,Unset
狂言,,きょうげん,Level2,Unset,Unset
実況,,じっきょう,Level2,Unset,Unset
狭い,,せまい,Level2,Unset,Unset
恐怖,,きょうふ,Level2,Unset,Unset
交響曲,,こうきょうきょく,Level2,Unset,Unset
驚愕,,きょうがく,Level2,Unset,Unset
仰天,,ぎょうてん,Level2,Unset,Unset
駆動,,くどう,Level2,Unset,Unset
掘削,,くっさく,Level2,Unset,Unset
恩恵,,おんけい,Level2,Unset,Unset
傾斜,,けいしゃ,Level2,Unset,Unset
傾く,,かたむく,Level2,Unset,Unset
継承,,けいしょう,Level2,Unset,Unset
攻撃,,こうげき,Level2,Unset,Unset
肩甲骨,,けんこうこつ,Level2,Unset,Unset
兼ねる,,かねる,Level2,Unset,Unset
真剣,,しんけん,Level2,Unset,Unset
軒先,,のきさき,Level2,Unset,Unset
圏内,,けんない,Level2,Unset,Unset
堅実,,けんじつ,Level2,Unset,Unset
派遣,,はけん,Level2,Unset,Unset
玄人,,くろうと,Level2,Unset,Unset
枯渇,,こかつ,Level2,Unset,Unset
枯れる,,かれる,Level2,Unset,Unset
誇張,,こちょう,Level2,Unset,Unset
誇る,,ほこる,Level2,Unset,Unset
鼓動,,こどう,Level2,Unset,Unset
小鼓,,こつづみ,Level2,Unset,Unset
相互,,そうご,Level2,Unset,Unset
対抗,,たいこう,Level2,Unset,Unset
更生,,こうせい,Level2,Unset,Unset
恒常,,こうじょう,Level2,Unset,Unset
荒廃,,こうはい,Level2,Unset,Unset
御香,,おこう,Level2,Unset,Unset
項目,,こうもく,Level2,Unset,Unset
投稿,,とうこう,Level2,Unset,Unset
豪華,,ごうか,Level2,Unset,Unset
婚姻,,こんいん,Level2,Unset,Unset
鎖国,,さこく,Level2,Unset,Unset
彩る,,いろどる,Level2,Unset,Unset
お歳暮,,おせいぼ,Level2,Unset,Unset
搭載,,とうさい,Level2,Unset,Unset
錠剤,,じょうざい,Level2,Unset,Unset
咲く,,さく,Level2,Unset,Unset
惨敗,,ざんぱい,Level2,Unset,Unset
惨め,,みじめ,Level2,Unset,Unset
趣旨,,しゅし,Level2,Unset,Unset
伺う,,うかがう,Level2,Unset,Unset
名刺,,めいし,Level2,Unset,Unset
脂肪,,しぼう,Level2,Unset,Unset
紫外線,,しがいせん,Level2,Unset,Unset
雌雄,,しゆう,Level2,Unset,Unset
確執,,かくしつ,Level2,Unset,Unset
紙芝居,,かみしばい,Level2,Unset,Unset
釈明,,しゃくめい,Level2,Unset,Unset
寂然,,じゃくねん,Level2,Unset,Unset
朱肉,,しゅにく,Level2,Unset,Unset
狩猟,,しゅりょう,Level2,Unset,Unset
趣味,,しゅみ,Level2,Unset,Unset
必需品,,ひつじゅひん,Level2,Unset,Unset
秀でる,,ひいでる,Level2,Unset,Unset
世襲,,せしゅう,Level2,Unset,Unset
柔軟,,じゅうなん,Level2,Unset,Unset
獣道,,けものみち,Level2,Unset,Unset
瞬発力,,しゅんぱつりょく,Level2,Unset,Unset
上旬,,じょうじゅん,Level2,Unset,Unset
巡る,,めぐる,Level2,Unset,Unset
