漢字,読み仮名,答え,レベル,部首,タグ
岩礁,,がんしょう,Level5,Unset,Unset
拙宅,,せったく,Level5,Unset,Unset
頑,,がん,Level5,Unset,Unset
履修,,りしゅう,Level5,Unset,Unset
核心,,かくしん,Level5,Unset,Unset
肖像,,しょうぞう,Level5,Unset,Unset
均衡,,きんこう,Level5,Unset,Unset
廃屋,,はいおく,Level5,Unset,Unset
摩耗,,まもう,Level5,Unset,Unset
頻出,,ひんしゅつ,Level5,Unset,Unset
雰囲気,,ふんいき,Level5,Unset,Unset
媒介,,ばいかい,Level5,Unset,Unset
追悼,,ついとう,Level5,Unset,Unset
懸案,,けんあん,Level5,Unset,Unset
要衝,,ようしょう,Level5,Unset,Unset
勲功,,くんこう,Level5,Unset,Unset
真偽,,しんぎ,Level5,Unset,Unset
珠玉,,しょぎょく,Level5,Unset,Unset
喪中,,もちゅう,Level5,Unset,Unset
稼ぐ,,かせぐ,Level5,Unset,Unset
渋皮,,しぶかわ,Level5,Unset,Unset
承る,,うけたまわる,Level5,Unset,Unset
垣根,,かきね,Level5,Unset,Unset
手綱,,たづな,Level5,Unset,Unset
漆,,うるし,Level5,Unset,Unset
岬,,みさき,Level5,Unset,Unset
飢えていた,,うえていた,Level5,Unset,Unset
鋼,,はがね,Level5,Unset,Unset
相克,,そうこく,Level5,Unset,Unset
懸命,,けんめい,Level5,Unset,Unset
素朴,,そぼく,Level5,Unset,Unset
孤塁,,こるい,Level5,Unset,Unset
粛清,,しゅくせい,Level5,Unset,Unset
窒息,,ちっそく,Level5,Unset,Unset
怠惰,,たいだ,Level5,Unset,Unset
充満,,じゅうまん,Level5,Unset,Unset
沸々,,ふつふつ,Level5,Unset,Unset
叙情,,じょじょう,Level5,Unset,Unset
疑似,,ぎじ,Level5,Unset,Unset
錬磨,,れんま,Level5,Unset,Unset
督促,,とくそく,Level5,Unset,Unset
秋涼,,しゅうりょう,Level5,Unset,Unset
拙劣,,せつれつ,Level5,Unset,Unset
競艇,,きょうてい,Level5,Unset,Unset
鼻緒,,はなお,Level5,Unset,Unset
汁粉,,しるこ,Level5,Unset,Unset
杉,,すぎ,Level5,Unset,Unset
映える,,はえる,Level5,Unset,Unset
手向ける,,たむける,Level5,Unset,Unset
嫌う,,きらう,Level5,Unset,Unset
扉,,とびら,Level5,Unset,Unset
靴,,くつ,Level5,Unset,Unset
堪える,,たえる,Level5,Unset,Unset
且つ,,かつ,Level5,Unset,Unset
伯爵,,はくしゃく,Level5,Unset,Unset
陥落,,かんらく,Level5,Unset,Unset
迷妄,,めいもう,Level5,Unset,Unset
詐称,,さしょう,Level5,Unset,Unset
苦渋,,くじゅう,Level5,Unset,Unset
呉服,,ごふく,Level5,Unset,Unset
謄本,,とうほう,Level5,Unset,Unset
沸点,,ふってん,Level5,Unset,Unset
覇,,は,Level5,Unset,Unset
搭載,,とうさい,Level5,Unset,Unset
閑職,,かんしょく,Level5,Unset,Unset
漸次,,ぜんじ,Level5,Unset,Unset
駄文,,だぶん,Level5,Unset,Unset
壮健,,そうけん,Level5,Unset,Unset
吟醸,,ぎんじょう,Level5,Unset,Unset
遺憾,,いかん,Level5,Unset,Unset
研磨,,けんま,Level5,Unset,Unset
浅慮,,せんりょ,Level5,Unset,Unset
金輪際,,こんりんざい,Level5,Unset,Unset
堀,,ほり,Level5,Unset,Unset
弓道,,きゅうどう,Level5,Unset,Unset
賜った,,たまわった,Level5,Unset,Unset
薦める,,すすめる,Level5,Unset,Unset
泥,,どろ,Level5,Unset,Unset
棟上げ,,むねあげ,Level5,Unset,Unset
和らいで,,やわらいで,Level5,Unset,Unset
霜,,しも,Level5,Unset,Unset
洞,,ほら,Level5,Unset,Unset
筒先,,つつさき,Level5,Unset,Unset
模索,,もさく,Level5,Unset,Unset
剛直,,ごうちょく,Level5,Unset,Unset
飢餓,,きが,Level5,Unset,Unset
粉砕,,ふんさい,Level5,Unset,Unset
囲碁,,いご,Level5,Unset,Unset
機嫌,,きげん,Level5,Unset,Unset
解剖,,かいぼう,Level5,Unset,Unset
義憤,,ぎふん,Level5,Unset,Unset
併願,,へいがん,Level5,Unset,Unset
捕虜,,ほりょ,Level5,Unset,Unset
癒着,,ゆちゃく,Level5,Unset,Unset
崇敬,,すうけい,Level5,Unset,Unset
臭み,,くさみ,Level5,Unset,Unset
調った,,ととのった,Level5,Unset,Unset
浦風,,うらかぜ,Level5,Unset,Unset
飛び交う,,とびかう,Level5,Unset,Unset
一筋縄,,ひとすじなわ,Level5,Unset,Unset
詩吟,,しぎん,Level6,Unset,Unset
覚醒,,かくせい,Level6,Unset,Unset
布石,,ふせき,Level6,Unset,Unset
遡上,,そじょう,Level6,Unset,Unset
伏線,,ふくせん,Level6,Unset,Unset
脱臼,,だっきゅう,Level6,Unset,Unset
摂政,,せっしょう,Level6,Unset,Unset
拷問,,ごうもん,Level6,Unset,Unset
山麓,,さんろく,Level6,Unset,Unset
従容,,しょうよう,Level6,Unset,Unset
比肩,,ひけん,Level6,Unset,Unset
閑暇,,かんか,Level6,Unset,Unset
湖沼,,こしょう,Level6,Unset,Unset
虚空,,こくう,Level6,Unset,Unset
稚拙,,ちせつ,Level6,Unset,Unset
禅譲,,ぜんじょう,Level6,Unset,Unset
混紡,,こうぼう,Level6,Unset,Unset
勲章,,くんしょう,Level6,Unset,Unset
暁天,,ぎょうてん,Level6,Unset,Unset
帰巣,,きそう,Level6,Unset,Unset
謀られる,,はかられる,Level6,Unset,Unset
爪,,つめ,Level6,Unset,Unset
泡,,あわ,Level6,Unset,Unset
褒める,,ほめる,Level6,Unset,Unset
担ぐ,,かつぐ,Level6,Unset,Unset
砕く,,くだく,Level6,Unset,Unset
肘,,ひじ,Level6,Unset,Unset
手際,,てぎわ,Level6,Unset,Unset
生唾,,なまつば,Level6,Unset,Unset
安閑,,あんかん,Level6,Unset,Unset
挿入,,そうにゅう,Level6,Unset,Unset
開襟,,かいきん,Level6,Unset,Unset
転嫁,,てんか,Level6,Unset,Unset
憎悪,,ぞうお,Level6,Unset,Unset
汗顔,,かんがん,Level6,Unset,Unset
私怨,,しえん,Level6,Unset,Unset
形骸,,けいがい,Level6,Unset,Unset
堪忍,,かんにん,Level6,Unset,Unset
筆禍,,ひっか,Level6,Unset,Unset
猶予,,ゆうよ,Level6,Unset,Unset
晩酌,,ばんしゃく,Level6,Unset,Unset
散逸,,さんいつ,Level6,Unset,Unset
浅薄,,せんぱく,Level6,Unset,Unset
解毒剤,,げどくざい,Level6,Unset,Unset
思索,,しさく,Level6,Unset,Unset
弔問,,ちょうもん,Level6,Unset,Unset
壮図,,そうと,Level6,Unset,Unset
堕落,,だらく,Level6,Unset,Unset
爪弾く,,つまびく,Level6,Unset,Unset
虐げられる,,しいたげられる,Level6,Unset,Unset
釜,,かま,Level6,Unset,Unset
袖,,そで,Level6,Unset,Unset
嘲られて,,あざけられて,Level6,Unset,Unset
妬む,,ねたむ,Level6,Unset,Unset
上っ面,,うわっつら,Level6,Unset,Unset
汚らわしい,,けがらわしい,Level6,Unset,Unset
懐いて,,なついて,Level6,Unset,Unset
山車,,だし,Level6,Unset,Unset
俊才,,しゅんさい,Level6,Unset,Unset
梗概,,こうがい,Level6,Unset,Unset
控除,,こうじょ,Level6,Unset,Unset
観桜,,かんおう,Level6,Unset,Unset
旋回,,せんかい,Level6,Unset,Unset
勅願,,ちょくがん,Level6,Unset,Unset
溺愛,,できあい,Level6,Unset,Unset
払底,,ふってい,Level6,Unset,Unset
賜杯,,しはい,Level6,Unset,Unset
寡欲,,かよく,Level6,Unset,Unset
功徳,,くどく,Level6,Unset,Unset
丁寧,,ていねい,Level6,Unset,Unset
装填,,そうてん,Level6,Unset,Unset
尚早,,しょうそう,Level6,Unset,Unset
懸賞,,けんしょう,Level6,Unset,Unset
剥製,,はくせい,Level6,Unset,Unset
均斉,,きんせい,Level6,Unset,Unset
醜聞,,しゅうぶん,Level6,Unset,Unset
有袋類,,ゆうたいるい,Level6,Unset,Unset
納屋,,なや,Level6,Unset,Unset
担いだ,,かついだ,Level6,Unset,Unset
裾,,すそ,Level6,Unset,Unset
矢面,,やおもて,Level6,Unset,Unset
殊,,こと,Level6,Unset,Unset
籠って,,こもって,Level6,Unset,Unset
匂う,,におう,Level6,Unset,Unset
但し,,ただし,Level6,Unset,Unset
神々しい,,こうごうしい,Level6,Unset,Unset
緑青,,ろくしょう,Level6,Unset,Unset
漆黒,,しっこく,Level6,Unset,Unset
感泣,,かんきゅう,Level6,Unset,Unset
捻挫,,ねんざ,Level6,Unset,Unset
還暦,,かんれき,Level6,Unset,Unset
凄惨,,せいさん,Level6,Unset,Unset
嫌疑,,けんぎ,Level6,Unset,Unset
偏狭,,へんきょう,Level6,Unset,Unset
雪溪,,せっけい,Level6,Unset,Unset
紡織,,ぼうしょく,Level6,Unset,Unset
献本,,けんぽん,Level6,Unset,Unset
豪壮,,ごうそう,Level6,Unset,Unset
愛猫,,あいびょう,Level6,Unset,Unset
惰眠,,だみん,Level6,Unset,Unset
繭紬,,けんちゅう,Level7,Unset,Unset
這般,,しゃはん,Level7,Unset,Unset
祁寒,,きかん,Level7,Unset,Unset
肇造,,ちょうぞう,Level7,Unset,Unset
頃日,,けいじつ,Level7,Unset,Unset
鍾愛,,しょうあい,Level7,Unset,Unset
禾穂,,かすい,Level7,Unset,Unset
欝欝,,うつうつ,Level7,Unset,Unset
辛酉,,しんゆう,Level7,Unset,Unset
頸椎,,けいつい,Level7,Unset,Unset
敦朴,,とんぼく,Level7,Unset,Unset
推挽,,すいばん,Level7,Unset,Unset
掠略,,りょうりゃく,Level7,Unset,Unset
禿首,,とくしゅ,Level7,Unset,Unset
砦柵,,さいそく,Level7,Unset,Unset
鴨脚,,おうきゃく,Level7,Unset,Unset
藪沢,,そうたく,Level7,Unset,Unset
櫛比,,しっぴ,Level7,Unset,Unset
盤桓,,ばんかん,Level7,Unset,Unset
揖譲,,ゆうじょう,Level7,Unset,Unset
硲,,はざま,Level7,Unset,Unset
椛,,もみじ,Level7,Unset,Unset
蔀戸,,しとみど,Level7,Unset,Unset
廓,,くるわ,Level7,Unset,Unset
淘げて,,よなげて,Level7,Unset,Unset
裳裾,,もすそ,Level7,Unset,Unset
屡,,しばしば,Level7,Unset,Unset
畷,,なわて,Level7,Unset,Unset
坐,,そぞろ,Level7,Unset,Unset
真菰,,まこも,Level7,Unset,Unset
錫,,しゃく,Level7,Unset,Unset
嵐翠,,らんすい,Level7,Unset,Unset
宕子,,とうし,Level7,Unset,Unset
没義道,,もぎどう,Level7,Unset,Unset
謬舛,,びゅうせん,Level7,Unset,Unset
繫縛,,けいばく,Level7,Unset,Unset
栗烈,,りつれつ,Level7,Unset,Unset
花娘,,かじょう,Level7,Unset,Unset
己丑,,きちゅう,Level7,Unset,Unset
懸吊,,けんちょう,Level7,Unset,Unset
種牡馬,,しゅぼば,Level7,Unset,Unset
斯道,,しどう,Level7,Unset,Unset
鞠訊,,きくじん,Level7,Unset,Unset
欣求,,ごんぐ,Level7,Unset,Unset
碓声,,たいせい,Level7,Unset,Unset
貰赦,,せいしゃ,Level7,Unset,Unset
厩肥,,きゅうひ,Level7,Unset,Unset
迅瀬,,じんらい,Level7,Unset,Unset
竈突,,そうとつ,Level7,Unset,Unset
樗散,,ちょさん,Level7,Unset,Unset
樫,,かし,Level7,Unset,Unset
鴫,,しぎ,Level7,Unset,Unset
韮,,にら,Level7,Unset,Unset
御簾,,みす,Level7,Unset,Unset
蔦葛,,つたかずら,Level7,Unset,Unset
花筏,,はないかだ,Level7,Unset,Unset
艮,,うしとら,Level7,Unset,Unset
矩,,のり,Level7,Unset,Unset
絢,,あや,Level7,Unset,Unset
叛いて,,そむいて,Level7,Unset,Unset
急灘,,きゅうだん、きゅうたん,Level7,Unset,Unset
砥礪,,しれい,Level7,Unset,Unset
釣鉤,,ちょうこう,Level7,Unset,Unset
盈満,,えいまん,Level7,Unset,Unset
迺公,,だいこう,Level7,Unset,Unset
禰宜,,ねぎ,Level7,Unset,Unset
遥任,,ようにん,Level7,Unset,Unset
甜菜,,てんさい,Level7,Unset,Unset
輯睦,,しゅうぼく,Level7,Unset,Unset
岡阜,,こうふ,Level7,Unset,Unset
儲嗣,,ちょし,Level7,Unset,Unset
畢生,,ひっせい,Level7,Unset,Unset
戊寅,,ぼいん,Level7,Unset,Unset
潟湖,,せきこ,Level7,Unset,Unset
頁岩,,けつがん,Level7,Unset,Unset
赫怒,,かくど,Level7,Unset,Unset
濡染,,じゅせん,Level7,Unset,Unset
砧杵,,ちんしょ,Level7,Unset,Unset
箭眼,,せんがん,Level7,Unset,Unset
奔滝,,ほんろう,Level7,Unset,Unset
種籾,,たねもみ,Level7,Unset,Unset
榊,,さかき,Level7,Unset,Unset
瀞,,とろ,Level7,Unset,Unset
昌んなる,,さかんなる,Level7,Unset,Unset
苑がらず,,ふさがらず,Level7,Unset,Unset
捌けた,,さばけた,Level7,Unset,Unset
大鰭,,おおひれ,Level7,Unset,Unset
笥子,,けこ、けご,Level7,Unset,Unset
甑,,こしき,Level7,Unset,Unset
坤,,ひつじさる,Level7,Unset,Unset
孜孜,,しし,Level7,Unset,Unset
大嘗会,,だいじょうえ,Level7,Unset,Unset
叩頭,,こうとう,Level7,Unset,Unset
荻花,,てきか、てっか,Level7,Unset,Unset
