漢字,読み仮名,答え,レベル,部首,タグ
偸安,,とうあん,Level8,Unset,Unset
鑰匙,,やくし,Level8,Unset,Unset
欠缺,,けんけつ,Level8,Unset,Unset
肉髻,,にくけい、にっけい,Level8,Unset,Unset
乞巧奠,,きっこうでん、きこうでん,Level8,Unset,Unset
草莽,,そうもう,Level8,Unset,Unset
扈遊,,こゆう,Level8,Unset,Unset
魚顋,,ぎょさい,Level8,Unset,Unset
欹歟,,いよ,Level8,Unset,Unset
妲己,,だっき,Level8,Unset,Unset
丐命,,かいめい,Level8,Unset,Unset
儡儡,,らいらい,Level8,Unset,Unset
淤淀,,おでん、おてん,Level8,Unset,Unset
獺,,だつ,Level8,Unset,Unset
覘望,,てんぼう,Level8,Unset,Unset
幎,,べき,Level8,Unset,Unset
湮阨,,いんやく,Level8,Unset,Unset
首楞厳,,しゅりょうごん,Level8,Unset,Unset
教肄,,きょうい,Level8,Unset,Unset
薛越,,せつえつ,Level8,Unset,Unset
挈げる,,ひっさげる,Level8,Unset,Unset
嘖む,,さいなむ,Level8,Unset,Unset
憑む,,たのむ,Level8,Unset,Unset
累わす,,わずらわす,Level8,Unset,Unset
青緡,,あおざし,Level8,Unset,Unset
鬻ぐ,,ひさぐ,Level8,Unset,Unset
朸,,おうご,Level8,Unset,Unset
宜宜し,,むべむべし、うべうべし,Level8,Unset,Unset
敝れる,,つかれる,Level8,Unset,Unset
侑む,,すすむ,Level8,Unset,Unset
曲突徙薪,,きょくとつししん,Level8,Unset,Unset
断鶴続鳧,,だんかくぞくふ,Level8,Unset,Unset
慧可断臂,,えかだんぴ,Level8,Unset,Unset
牛驥同皁,,ぎゅうきどうそう,Level8,Unset,Unset
麤枝大葉,,そしたいよう,Level8,Unset,Unset
咫尺万里,,しせきばんり,Level8,Unset,Unset
牛溲馬勃,,ぎゅうしゅうばぼつ,Level8,Unset,Unset
蒼蠅驥尾,,そうようきび,Level8,Unset,Unset
稲架,,はさ,Level8,Unset,Unset
花魁,,おいらん,Level8,Unset,Unset
矮鶏,,ちゃぼ,Level8,Unset,Unset
波斯,,ぺるしゃ、ぺるしあ,Level8,Unset,Unset
仏掌薯,,つくねいも,Level8,Unset,Unset
水蚤,,みじんこ,Level8,Unset,Unset
障泥,,あおり,Level8,Unset,Unset
小筒,,ささえ,Level8,Unset,Unset
水綿,,あおみどろ,Level8,Unset,Unset
金剛纂,,やつで,Level8,Unset,Unset
擣碪,,とうちん,Level8,Unset,Unset
韞玉,,うんぎょく,Level8,Unset,Unset
仍重,,じょうちょう,Level8,Unset,Unset
嗄声,,させい,Level8,Unset,Unset
拉朽,,ろうきゅう,Level8,Unset,Unset
儁異,,しゅんい,Level8,Unset,Unset
驕矜,,きょうきょう,Level8,Unset,Unset
鬧熱,,どうねつ,Level8,Unset,Unset
専擅,,せんせん,Level8,Unset,Unset
疫癘,,えきれい,Level8,Unset,Unset
頌偈,,じゅげ,Level8,Unset,Unset
春鶯囀,,しゅんのうでん、しゅんおうでん,Level8,Unset,Unset
閨竇,,けいとう,Level8,Unset,Unset
串狎,,かんこう,Level8,Unset,Unset
棗脯,,そうほ,Level8,Unset,Unset
噫気,,あいき,Level8,Unset,Unset
掾属,,えんぞく,Level8,Unset,Unset
播化,,はか,Level8,Unset,Unset
齦齦,,ぎんぎん,Level8,Unset,Unset
鍼黹,,しんち,Level8,Unset,Unset
喙長,,かいちょう,Level8,Unset,Unset
傴巫,,うふ,Level8,Unset,Unset
