漢字,読み仮名,答え,レベル,部首,タグ
鮎魚女,,あいなめ,Level4,Unset,Fish
鰺,,あじ,Level3,Unset,Fish
穴子,,あなご,Level3,Unset,Fish
鮎,,あゆ,Level4,Unset,Fish
鮟鱇,,あんこう,Level4,Unset,Fish
鰯,,いわし,Level3,Unset,Fish
岩魚,,いわな,Level3,Unset,Fish
鰻,,うなぎ,Level3,Unset,Fish
海鷂魚,,えい,Level5,Unset,Fish
追河,,おいかわ,Level3,Unset,Fish
虎魚,,おこぜ,Level4,Unset,Fish
鰍,,かじか,Level4,Unset,Fish
鰹,,かつお,Level3,Unset,Fish
梭魚,,かます,Level4,Unset,Fish
鰈,,かれい,Level4,Unset,Fish
皮剥,,かわはぎ,Level3,Unset,Fish
鱚,,きす,Level3,Unset,Fish
鯉,,こい,Level3,Unset,Fish
鯒,,こち,Level4,Unset,Fish
鮴,,ごり,Level4,Unset,Fish
鮭,,さけ,Level3,Unset,Fish
鯖,,さば,Level3,Unset,Fish
鮫,,さめ,Level3,Unset,Fish
鰆,,さわら,Level4,Unset,Fish
秋刀魚,,さんま,Level3,Unset,Fish
柳葉魚,,ししゃも,Level5,Unset,Fish
鱸,,すずき,Level4,Unset,Fish
鯛,,たい,Level3,Unset,Fish
太刀魚,,たちうお,Level3,Unset,Fish
鱈,,たら,Level3,Unset,Fish
蝶鮫,,ちょうざめ,Level4,Unset,Fish
泥鰌,,どじょう,Level4,Unset,Fish
鯰,,なまず,Level4,Unset,Fish
鰊,,にしん,Level4,Unset,Fish
鯊,,はぜ,Level4,Unset,Fish
鰰,,はたはた,Level4,Unset,Fish
鱧,,はも,Level4,Unset,Fish
鮃,,ひらめ,Level3,Unset,Fish
河豚,,ふぐ,Level3,Unset,Fish
鮒,,ふな,Level4,Unset,Fish
鰤,,ぶり,Level4,Unset,Fish
鯔,,ぼら,Level4,Unset,Fish
鮪,,まぐろ,Level3,Unset,Fish
鱒,,ます,Level4,Unset,Fish
翻車魚,,まんぼう,Level4,Unset,Fish
目高,,めだか,Level3,Unset,Fish
眼張,,めばる,Level3,Unset,Fish
山女魚,,やまめ,Level4,Unset,Fish
公魚,,わかさぎ,Level4,Unset,Fish
鯨,,くじら,Level3,Unset,Fish
家鴨,,あひる,Level4,Unset,Bird
信天翁,,あほうどり,Level4,Unset,Bird
鸚哥,,いんこ,Level4,Unset,Bird
鵜,,う,Level4,Unset,Bird
鶯,,うぐいす,Level4,Unset,Bird
鶉,,うずら,Level4,Unset,Bird
鸚鵡,,おうむ,Level4,Unset,Bird
鴛鴦,,おしどり,Level4,Unset,Bird
郭公,,かっこう、ほととぎす,Level4,Unset,Bird
金糸雀,,かなりあ,Level4,Unset,Bird
鴨,,しぎ,Level4,Unset,Bird
鴎,,かもめ,Level4,Unset,Bird
烏,,からす,Level3,Unset,Bird
雁,,がん,Level3,Unset,Bird
軽鴨,,かるがも,Level4,Unset,Bird
翡翠,,かわせみ、ひすい,Level4,Unset,Bird
雉子,,きじ,Level4,Unset,Bird
啄木鳥,,きつつき,Level4,Unset,Bird
山原水鶏,,やんばるくいな,Level4,Unset,Bird
孔雀,,くじゃく,Level3,Unset,Bird
鸛,,こうのとり,Level4,Unset,Bird
小啄木鳥,,こげら,Level4,Unset,Bird
鷺,,さぎ,Level4,Unset,Bird
鴫,,しぎ,Level4,Unset,Bird
四十雀,,しじゅうから,Level4,Unset,Bird
軍鶏,,しゃも,Level4,Unset,Bird
雀,,すずめ,Level3,Unset,Bird
背黄青鸚哥,,せきせいいんこ,Level4,Unset,Bird
鷹,,たか,Level3,Unset,Bird
駝鳥,,だちょう,Level3,Unset,Bird
千鳥,,ちどり,Level3,Unset,Bird
鶫,,つぐみ,Level4,Unset,Bird
燕,,つばめ,Level4,Unset,Bird
鶴,,つる,Level3,Unset,Bird
朱鷺,,とき,Level4,Unset,Bird
鳶,,とび、とんび,Level4,Unset,Bird
鶏,,にわとり、とり,Level3,Unset,Bird
鳩,,はと,Level3,Unset,Bird
隼,,はやぶさ,Level3,Unset,Bird
梟,,ふくろう,Level4,Unset,Bird
不如帰,,ほととぎす,Level4,Unset,Bird
珠鶏,,ほろほろちょう,Level5,Unset,Bird
木菟,,みみずく,Level4,Unset,Bird
百舌,,もず,Level4,Unset,Bird
夜鷹,,よたか,Level4,Unset,Bird
鷲,,わし,Level4,Unset,Bird
欠陥,,けっかん,Level3,Unset,Unset
自叙伝,,じじょでん,Level3,Unset,Unset
享受,,きょうじゅ,Level3,Unset,Unset
粛々,,しゅくしゅく,Level3,Unset,Unset
逐次,,ちくじ,Level3,Unset,Unset
宮廷,,きゅうてい,Level3,Unset,Unset
括弧,,かっこ,Level3,Unset,Unset
御壮健,,ごそうけん,Level3,Unset,Unset
寛大,,かんだい,Level3,Unset,Unset
逓減,,ていげん,Level3,Unset,Unset
滋味,,じみ,Level3,Unset,Unset
謹呈,,きんてい,Level3,Unset,Unset
