漢字,読み仮名,答え,レベル,部首,タグ
家鴨,,あひる,Level4,Unset,Bird
啄木鳥,,きつつき,Level4,Unset,Bird
雀,,すずめ,Level3,Unset,Bird
鷹,,たか,Level3,Unset,Bird
鶏,,にわとり,Level3,Unset,Bird
珠鳥,,ほろほろちょう,Level5,Unset,Bird
角鴟,,みみずく,Level5,Unset,Bird
山原水鶏,,やんばるくいな,Level4,Unset,Bird
鷲,,わし,Level4,Unset,Bird
穴子,,あなご,Level3,Unset,Fish
鰈,,かれい,Level4,Unset,Fish
鮫,,さめ,Level4,Unset,Fish
泥鰌,,どじょう,Level4,Unset,Fish
鯰,,なまず,Level4,Unset,Fish
鰡,,ぼら,Level5,Unset,Fish
翻車魚,,まんぼう,Level4,Unset,Fish
山女魚,,やまめ,Level4,Unset,Fish
公魚,,わかさぎ,Level4,Unset,Fish
苺,,いちご,Level3,Unset,Plant
金木犀,,きんもくせい,Level4,Unset,Plant
生姜,,しょうが,Level3,Unset,Plant
筍,,たけのこ,Level3,Unset,Plant
大蒜,,にんにく,Level4,Unset,Plant
向日葵,,ひまわり,Level3,Unset,Plant
樅,,もみ,Level4,Unset,Plant
柚子,,ゆず,Level3,Unset,Plant
林檎,,りんご,Level3,Unset,Plant
山葵,,わさび,Level4,Unset,Plant
